Timestamp;Electrical Conductivity;Temperature;Volumetric Water Content
2025-07-11 06:10:32;255;23.23;42.31
2025-07-11 06:15:32;257;23.23;42.31
2025-07-11 06:20:32;257;23.23;42.29
2025-07-11 06:25:32;258;23.23;42.29
2025-07-11 06:30:32;258;23.23;42.28
2025-07-11 06:35:32;261;23.22;42.26
2025-07-11 06:40:32;261;23.22;42.27
2025-07-11 06:45:32;262;23.21;42.25
2025-07-11 06:50:32;264;23.21;42.24
2025-07-11 06:55:32;262;23.21;42.23
2025-07-11 07:00:32;264;23.2;42.22
2025-07-11 07:05:32;266;23.19;42.22
2025-07-11 07:10:32;265;23.19;42.21
2025-07-11 07:15:32;266;23.18;42.2
2025-07-11 07:20:32;267;23.18;42.19
2025-07-11 07:25:32;268;23.17;42.19
2025-07-11 07:30:31;268;23.17;42.18
2025-07-11 07:35:31;270;23.16;42.17
2025-07-11 07:45:31;272;23.15;42.17
2025-07-11 07:50:31;272;23.15;42.16
2025-07-11 07:55:31;273;23.15;42.15
2025-07-11 08:00:31;275;23.14;42.14
2025-07-11 08:05:31;273;23.14;42.14
2025-07-11 08:10:31;277;23.14;42.13
2025-07-11 08:15:31;276;23.14;42.13
2025-07-11 08:20:31;276;23.14;42.12
2025-07-11 08:25:31;278;23.14;42.11
2025-07-11 08:30:31;278;23.13;42.11
2025-07-11 08:35:31;279;23.13;42.1
2025-07-11 08:40:31;281;23.13;42.09
2025-07-11 08:45:31;280;23.13;42.08
2025-07-11 08:50:31;282;23.13;42.07
2025-07-11 08:55:31;284;23.13;42.07
2025-07-11 09:00:30;284;23.13;42.06
2025-07-11 09:05:30;284;23.13;42.05
2025-07-11 09:10:30;285;23.13;42.05
2025-07-11 09:15:30;286;23.13;42.03
2025-07-11 09:20:30;289;23.13;42.02
2025-07-11 09:25:30;288;23.13;42.01
2025-07-11 09:30:30;288;23.13;42.0
2025-07-11 09:35:30;289;23.13;42.0
2025-07-11 09:40:30;290;23.13;41.99
2025-07-11 09:45:30;294;23.13;41.97
2025-07-11 09:50:30;293;23.13;41.96
2025-07-11 09:55:30;294;23.13;41.95
2025-07-11 10:00:30;294;23.13;41.94
2025-07-11 10:05:30;296;23.13;41.93
2025-07-11 10:10:30;295;23.13;41.92
2025-07-11 10:15:30;296;23.13;41.92
2025-07-11 10:20:30;298;23.13;41.91
2025-07-11 10:25:30;299;23.13;41.89
2025-07-11 10:30:29;299;23.13;41.88
2025-07-11 10:35:29;298;23.13;41.87
2025-07-11 10:40:29;299;23.13;41.86
2025-07-11 10:45:29;300;23.13;41.85
2025-07-11 10:50:29;302;23.13;41.83
2025-07-11 10:55:29;304;23.13;41.83
2025-07-11 11:00:29;303;23.13;41.81
2025-07-11 11:05:29;303;23.13;41.8